cik,ticker,bdc_name,form,accession,period_of_report,filed_date,period_end,level,label,for_company,covers_line_ids,industry,dimensions,amortized_cost_usd,fair_value_usd,pct_of_net_assets,source_table
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Cascade Parent Inc., Cascade Intermediate II, Inc., and Haveli Cascade Co-Invest I, L.P. (13)","Cascade Parent Inc., Cascade Intermediate II, Inc., and Haveli Cascade Co-Invest I, L.P. (13)","41,42,43,44",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:CascadeParentInc.CascadeIntermediateIIInc.AndHaveliCascadeCoInvestIL.P.Member""}",61200000.0,61000000.0,,11
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Centralsquare Technologies, LLC and Supermoose Newco, Inc. (13)","Centralsquare Technologies, LLC and Supermoose Newco, Inc. (13)","45,46,47",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:CentralsquareTechnologiesLLCAndSupermooseNewcoInc.Member""}",259300000.0,259500000.0,,11
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.","Consilio Midco Limited, Compusoft US LLC, and Consilio Investment Holdings, L.P.","52,53",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ConsilioMidcoLimitedCompusoftUSLLCAndConsilioInvestmentHoldingsLPMember""}",5000000.0,9900000.0,,11
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (13)","CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (13)","54,55,56",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:CoreLogicIncAndTVIIICelestialCoInvestLPMember""}",228000000.0,218400000.0,,11
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc. (13)","Cority Software Inc., Cority Software (USA) Inc., and Cority Parent, Inc. (13)","57,58,59",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:CoritySoftwareIncCoritySoftwareUSAIncAndCorityParentIncMember""}",62100000.0,60500000.0,,12
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (13)","Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (13)","60,61,62,63,64",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:CornerstoneOnDemandIncAndSunshineSoftwareHoldingsIncMember""}",364600000.0,232300000.0,,12
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Datix Bidco Limited and RL Datix Holdings (USA), Inc. (13)","Datix Bidco Limited and RL Datix Holdings (USA), Inc. (13)","67,68",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:DatixBidcoLimitedAndRLDatixHoldingsUSAInc.Member""}",157700000.0,159200000.0,,12
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Digicert, Inc., Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P. (13)","Digicert, Inc., Dcert Buyer, Inc., DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P. (13)","69,70,71,72",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:DigicertInc.DcertBuyerInc.DCertPreferredHoldingsInc.AndDestinyDigitalHoldingsL.P.Member""}",375600000.0,327900000.0,,12
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Diligent Corporation and Diligent Preferred Issuer, Inc. (13)","Diligent Corporation and Diligent Preferred Issuer, Inc. (13)","73,74,75,76",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:DiligentCorporationAndDiligentPreferredIssuerIncMember""}",45900000.0,44400000.0,,12
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,Doxim Inc. (13),Doxim Inc. (13),"77,78",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:DoximInc.Member""}",84300000.0,84300000.0,,12
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"DriveCentric Holdings, LLC (13)","DriveCentric Holdings, LLC (13)","79,80",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:DriveCentricHoldingsLLCMember""}",23700000.0,23700000.0,,12
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc. (13)","Eclipse Topco, Inc., Eclipse Investor Parent, L.P. and Eclipse Buyer, Inc. (13)","82,83,84",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:EclipseTopcoInc.EclipseInvestorParentL.P.AndEclipseBuyerInc.Member""}",44000000.0,43600000.0,,13
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Edition Holdings, Inc. and Enverus, Inc. (13)","Edition Holdings, Inc. and Enverus, Inc. (13)","85,86",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:EditionHoldingsInc.AndEnverusInc.Member""}",81100000.0,79400000.0,,13
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Edmunds Govtech, Inc. (13)","Edmunds Govtech, Inc. (13)","87,88",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:EdmundsGovtechIncMember""}",6900000.0,6900000.0,,13
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Elemica, Inc. and EZ Elemica Holdings, Inc. (13)","Elemica, Inc. and EZ Elemica Holdings, Inc. (13)","90,91,92",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ElemicaInc.AndEZElemicaHoldingsInc.Member""}",117600000.0,116700000.0,,13
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.","EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.","93,94",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:EPPurchaserLLCAndTPGVIIIEPCoInvestIILPMember""}",52500000.0,34400000.0,,13
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Extrahop Networks, Inc.","Extrahop Networks, Inc.","97,98,99",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ExtraHopNetworksIncMember""}",43100000.0,42700000.0,,13
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,Flexera Software LLC (13),Flexera Software LLC (13),"100,101,102",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:FlexeraSoftwareLLCMember""}",145800000.0,142700000.0,,14
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,GHP-VGS Purchaser LLC (13),GHP-VGS Purchaser LLC (13),"104,105",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:GHPVGSPurchaserLLCMember""}",10900000.0,10900000.0,,14
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,GI Ranger Intermediate LLC (13),GI Ranger Intermediate LLC (13),"106,107,108",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:GIRangerIntermediateLLCMember""}",14900000.0,13200000.0,,14
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Guidepoint Security Holdings, LLC (13)","Guidepoint Security Holdings, LLC (13)","110,111,112,113",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:GuidepointSecurityHoldingsLLCMember""}",18100000.0,18100000.0,,14
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Heavy Construction Systems Specialists, LLC (13)","Heavy Construction Systems Specialists, LLC (13)","114,115",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:HeavyConstructionSystemsSpecialistsLLCMember""}",13800000.0,13800000.0,,14
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP (13)","Huskies Parent, Inc., GI Insurity Parent LLC and GI Insurity TopCo LP (13)","117,118,119,120,121",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:HuskiesParentIncGIInsurityParentLLCAndGIInsurityTopcoLPMember""}",214700000.0,183200000.0,,14
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"ID.me, LLC and ID.me, Inc. (13)","ID.me, LLC and ID.me, Inc. (13)","126,127,128",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ID.meLLCAndID.meInc.Member""}",150400000.0,155100000.0,,15
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,IQN Holding Corp. (13),IQN Holding Corp. (13),"130,131",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:IQNHoldingCorp.Member""}",2800000.0,2800000.0,,15
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,JAMS Holdings LP and Jams Buyer LLC (13),JAMS Holdings LP and Jams Buyer LLC (13),"132,133",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:JAMSHoldingsLPAndJamsBuyerLLCMember""}",15000000.0,15000000.0,,15
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,Kairos Bidco Limited (13),Kairos Bidco Limited (13),"135,136",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:KairosBidcoLimitedMember""}",25100000.0,25100000.0,,15
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"LeanTaaS Holdings, Inc. (13)","LeanTaaS Holdings, Inc. (13)","138,139",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:LeanTaaSHoldingsInc.Member""}",78400000.0,76900000.0,,15
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Majesco and Magic Topco, L.P.","Majesco and Magic Topco, L.P.","141,142",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:MajescoAndMagicTopcoLPMember""}",1700000.0,4300000.0,,16
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Merit Software Finance Holdings, LLC (13)","Merit Software Finance Holdings, LLC (13)","143,144",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:MeritSoftwareFinanceHoldingsLLCMember""}",33000000.0,33000000.0,,16
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Metatiedot Bidco OY and Metatiedot US, LLC (13)","Metatiedot Bidco OY and Metatiedot US, LLC (13)","145,146,147",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:MetatiedotBidcoOYAndMetatiedotUSLLCMember""}",13500000.0,14000000.0,,16
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Mimecast Borrowerco, Inc. and Magnesium Co- Invest SCSp","Mimecast Borrowerco, Inc. and Magnesium Co- Invest SCSp","148,149,150",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:MimecastBorrowercoIncAndMagnesiumCoInvestSCSpMember""}",71900000.0,83900000.0,,16
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (13)","Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (13)","151,152,153",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:MinistryBrandsHoldingsLLCAndRCPMBInvestmentsBLPMember""}",48000000.0,41900000.0,,16
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,Moonraker AcquisitionCo LLC and Moonraker HoldCo LLC (13),Moonraker AcquisitionCo LLC and Moonraker HoldCo LLC (13),"156,157",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:MoonrakerAcquisitionCoLLCAndMoonrakerHoldCoLLCMember""}",29500000.0,26900000.0,,16
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,MRI Software LLC (13),MRI Software LLC (13),"159,160,161,162",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:MRISoftwareLLCMember""}",12400000.0,12300000.0,,16
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Netsmart, Inc. and Netsmart Technologies, Inc. (13)","Netsmart, Inc. and Netsmart Technologies, Inc. (13)","165,166",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:NetsmartInc.AndNetsmartTechnologiesInc.Member""}",61600000.0,60400000.0,,17
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"North Star Acquisitionco, LLC and Toucan Bidco Limited (13)","North Star Acquisitionco, LLC and Toucan Bidco Limited (13)","167,168,169,170",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:NorthStarAcquisitioncoLLCAndToucanBidcoLimitedMember""}",19300000.0,20000000.0,,17
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,Optimizely North America Inc. and Optimizely Sweden Holdings AB (13),Optimizely North America Inc. and Optimizely Sweden Holdings AB (13),"172,173,174",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:OptimizelyNorthAmericaInc.AndOptimizelySwedenHoldingsABMember""}",8500000.0,8300000.000000001,,17
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"PCMI Parent, LLC and PCMI Ultimate Holdings, LP (13)","PCMI Parent, LLC and PCMI Ultimate Holdings, LP (13)","175,176,177",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:PCMIParentLLCAndPCMIUltimateHoldingsLPMember""}",7800000.0,8199999.999999999,,17
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"PDDS HoldCo, Inc. (13)","PDDS HoldCo, Inc. (13)","178,179",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:PDDSHoldCoInc.Member""}",13700000.0,14000000.0,,17
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC","PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC","180,181,182,183",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:PDITAHoldingsIncPeachtreeParentIncAndInsightPDIHoldingsLLCMember""}",48900000.0,47400000.0,,18
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Petvisor Holdings, LLC (13)","Petvisor Holdings, LLC (13)","184,185,186",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:PetvisorHoldingsLLCMember""}",23100000.0,22700000.0,,18
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Pluralsight, LLC and Pluralsight Holdings, LLC and Paradigmatic Holdco LLC (4)","Pluralsight, LLC and Pluralsight Holdings, LLC and Paradigmatic Holdco LLC (4)","187,188,189",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:PluralsightLLCAndPluralsightHoldingsLLCAndParadigmaticHoldcoLLCMember""}",57900000.0,21800000.0,,18
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"PracticeTek Purchaser, LLC, PracticeTek MidCo, LLC and GSV PracticeTek Holdings, LLC (13)","PracticeTek Purchaser, LLC, PracticeTek MidCo, LLC and GSV PracticeTek Holdings, LLC (13)","190,191,192,193",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:PracticeTekPurchaserLLCPracticeTekMidCoLLCAndGSVPracticeTekHoldingsLLCMember""}",123200000.0,116800000.0,,18
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (13)","Project Potter Buyer, LLC and Project Potter Parent, L.P. (13)","194,195,196,197,198,199,200",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ProjectPotterBuyerLLCAndProjectPotterParentLPMember""}",96800000.0,99500000.0,,18
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Proofpoint, Inc. (13)","Proofpoint, Inc. (13)","201,202,203",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:ProofpointInc.Member""}",105100000.0,101900000.0,,18
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"QF Holdings, Inc. (13)","QF Holdings, Inc. (13)","204,205",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:QFHoldingsInc.Member""}",47300000.0,46400000.0,,18
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Revalize, Inc. (13)","Revalize, Inc. (13)","207,208",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:RevalizeIncMember""}",1100000.0,900000.0,,19
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"RMS HoldCo II, LLC & RMS Group Holdings, Inc. (13)","RMS HoldCo II, LLC & RMS Group Holdings, Inc. (13)","209,210,211",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:RMSHoldcoIILLCRMSGroupHoldingsIncMember""}",5700000.0,1500000.0,,19
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Severin Acquisition, LLC (13)","Severin Acquisition, LLC (13)","214,215",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:SeverinAcquisitionLLCMember""}",159500000.0,154700000.0,,19
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Smarsh Inc. and Skywalker TopCo, LLC (13)","Smarsh Inc. and Skywalker TopCo, LLC (13)","216,217,218",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:SmarshIncAndSkywalkerTopCoLLCMember""}",11200000.0,10600000.0,,19
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Spaceship Purchaser, Inc. (13)","Spaceship Purchaser, Inc. (13)","220,221",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:SpaceshipPurchaserInc.Member""}",74400000.0,74400000.0,,19
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Spirit RR Holdings, Inc. and Winterfell Co-Invest SCSp (13)","Spirit RR Holdings, Inc. and Winterfell Co-Invest SCSp (13)","223,224,225",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:SpiritRRHoldingsIncAndWinterfellCoInvestSCSpMember""}",12700000.0,22300000.0,,19
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Sundance Group Holdings, Inc. (13)","Sundance Group Holdings, Inc. (13)","227,228,229",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:SundanceGroupHoldingsIncMember""}",32900000.0,32600000.0,,20
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"Tamarack Intermediate, L.L.C. and Tamarack Parent, L.L.C. (13)","Tamarack Intermediate, L.L.C. and Tamarack Parent, L.L.C. (13)","231,232,233,234,235",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:TamarackIntermediateLLCAndTamarackParentLLCMember""}",62900000.0,64900000.00000001,,20
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,TCP Hawker Intermediate LLC (13),TCP Hawker Intermediate LLC (13),"236,237,238",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:TCPHawkerIntermediateLLCMember""}",55600000.0,53800000.0,,20
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,Transit Technologies LLC (13),Transit Technologies LLC (13),"241,242",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:TransitTechnologiesLLCMember""}",20100000.0,19800000.0,,20
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"UFS, LLC and BV-UFS Aggregator, LLC (13)","UFS, LLC and BV-UFS Aggregator, LLC (13)","243,244",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:UFSLLCAndBVUFSAggregatorLLCMember""}",36600000.0,36700000.0,,20
0001287750,ARCC,Ares Capital Corporation,10-Q,0001628280-26-050307,2026-06-30,2026-07-29,2026-06-30,issuer,"UserZoom Technologies, Inc.","UserZoom Technologies, Inc.","247,248",Software and Services,"{""us-gaap:InvestmentIssuerNameAxis"": ""arcc:UserZoomTechnologiesInc.Member""}",7500000.0,6500000.0,,21
