soi_section,footnote_number,flag,footnote_text
1,1,,"Other than the Company’s investments listed in footnote 5 below (subject to the limitations set forth therein), the Company does not “Control” any of its portfolio companies, for the purposes of the Investment Company Act of 1940, as amended (together with the rules and regulations promulgated thereunder, the “Investment Company Act”). In general, under the Investment Company Act, the Company would “Control” a portfolio company if the Company owned more than 25% of its outstanding voting securities (i.e., securities with the right to elect directors) and/or had the power to exercise control over the management or policies of such portfolio company. All of the Company’s portfolio company investments, which as of December 31, 2025 represented 206% of the Company’s net assets or 94% of the Company’s total assets, are subject to legal restrictions on sales."
1,2,is_pledged_as_collateral,"These assets are pledged as collateral under the Company’s or the Company’s consolidated subsidiaries’ various revolving credit facilities and debt securitizations and, as a result, are not directly available to the creditors of the Company to satisfy any obligations of the Company other than the obligations under each of the respective credit facilities and debt securitizations (see Note 5)."
1,3,,Investments without an interest rate are non-income producing.
1,4,is_affiliated_person,"As defined in the Investment Company Act, the Company is deemed to be an “Affiliated Person” because it owns 5% or more of the portfolio company’s outstanding voting securities or it has the power to exercise control over the management or policies of such portfolio company (including through a management agreement). Transactions as of and during the year ended December 31, 2025 in which the issuer was an Affiliated Person of the Company (but not a portfolio company that the Company is deemed to Control) are as follows:"
1,5,is_controlled,"As defined in the Investment Company Act, the Company is deemed to be both an “Affiliated Person” and “Control” this portfolio company because it owns more than 25% of the portfolio company’s outstanding voting securities or it has the power to exercise control over the management or policies of such portfolio company (including through a management agreement). Transactions as of and during the year ended December 31, 2025 in which the issuer was both an Affiliated Person and a portfolio company that the Company is deemed to Control are as follows:"
1,6,is_non_qualifying_asset,"This portfolio company is not a qualifying asset under Section 55(a) of the Investment Company Act. Under the Investment Company Act, the Company may not acquire any non-qualifying asset unless, at the time such acquisition is made, qualifying assets represent at least 70% of the Company’s total assets. Pursuant to Section 55(a) of the Investment Company Act, 22% of the Company’s total assets are represented by investments at fair value and other assets that are considered “non-qualifying assets” as of December 31, 2025."
1,7,,"Variable rate loans to the Company’s portfolio companies bear interest at a rate that may be determined by reference to the Secured Overnight Financing Rate (“SOFR”) or an alternate base rate (commonly based on the Federal Funds Rate or the Prime Rate), at the borrower’s option, which reset annually (A), semi-annually (S), quarterly (Q), bi-monthly (B), monthly (M) or daily (D). For each such loan, the Company has provided the interest rate in effect on the date presented. SOFR based contracts may include a credit spread adjustment that is charged in addition to the base rate and the stated spread."
1,8,is_non_accrual,"Loan was on non-accrual status as of December 31, 2025."
1,9,has_interest_rate_floor,Loan includes interest rate floor feature.
1,10,is_sdlp_certificate,"In addition to the interest earned based on the stated contractual interest rate of this security, the certificates entitle the holders thereof to receive a portion of the excess cash flow from the SDLP’s loan portfolio, after expenses, which may result in a return to the Company greater than the contractual stated interest rate."
1,11,has_letters_of_credit_unfunded,"As of December 31, 2025, no amounts were funded by the Company under this first lien senior secured revolving loan; however, there were letters of credit issued and outstanding through a financial intermediary under the loan. See Note 7 for further information on letters of credit commitments related to certain portfolio companies."
1,12,has_letters_of_credit_additional,"As of December 31, 2025, in addition to the amounts funded by the Company under this first lien senior secured revolving loan, there were also letters of credit issued and outstanding through a financial intermediary under the loan. See Note 7 for further information on letters of credit commitments related to certain portfolio companies."
1,13,has_unfunded_loan_commitment,"As of December 31, 2025, the Company had the following commitments to fund various revolving and delayed draw senior secured and subordinated loans, including commitments to issue letters of credit through a financial intermediary on behalf of certain portfolio companies. Such commitments are subject to the satisfaction of certain conditions set forth in the documents governing these loans and letters of credit and there can be no assurance that such conditions will be satisfied. See Note 7 for further information on revolving and delayed draw loan commitments, including commitments to issue letters of credit, related to certain portfolio companies."
1,14,has_unfunded_equity_commitment,"As of December 31, 2025, the Company was party to agreements to fund equity investments as follows:"
1,15,has_sdlp_coinvest_commitment,"As of December 31, 2025, the Company had commitments to co-invest in the SDLP for its portion of the SDLP’s commitment to fund delayed draw loans of up to $60. See Note 4 for more information on the SDLP."
1,16,fair_value_not_level_3,"Other than the investments noted by this footnote, the fair value of the Company’s investments is determined using unobservable inputs that are significant to the overall fair value measurement. See Note 8 for more information regarding the fair value of the Company’s investments."
1,17,,"As of December 31, 2025, the estimated net unrealized gain for federal tax purposes was approximately $300 million based on a tax cost basis of $29.2 billion. As of December 31, 2025, the estimated aggregate gross unrealized gain for federal income tax purposes was approximately $1.3 billion and the estimated aggregate gross unrealized loss for federal income tax purposes was approximately $1.0 billion."
1,18,,"The relative payment priority of investments may vary within a portfolio company’s capital structure. For portfolio companies in which the Company holds multiple investments of the same investment type, such investments are presented in order of relative payment priority within the portfolio company’s capital structure."
